make,model,fuel,kms,power,shift,price,location,codigopostalid,provincia,poblacion
Volkswagen,Sharan,Diésel,95045.0,150.0,manual,34495,Zaragoza,50017,Zaragoza,Zaragoza
Volkswagen,Sharan,Diésel,137900.0,150.0,automatic,21900,Valencia,46002,Valencia,Valencia
Toyota,C-HR,Eléctrico,129405.0,122.0,automatic,18500,Girona,17005,Girona,Girona
Toyota,C-HR,Eléctrico,252998.0,125.0,automatic,25970,Foios,46134,Valencia,Foios
SEAT,Tarraco,Diésel,95446.0,150.0,manual,25890,Collado Villalba,28400,Madrid,Collado Villalba
SEAT,Tarraco,Diésel,95446.0,150.0,manual,25890,Collado Villalba,28400,Madrid,Collado Villalba
SEAT,Tarraco,Diésel,95446.0,150.0,manual,25890,Urbanizacion La Granjilla,28700,Madrid,Urbanizacion La Granjilla
SEAT,Tarraco,Diésel,95446.0,150.0,manual,25890,Villaviciosa de Odón,28670,Madrid,Villaviciosa de Odón
SEAT,Tarraco,Diésel,59995.0,150.0,manual,22890,Ourense,32001,Ourense,Ourense
SEAT,Tarraco,Diésel,59995.0,150.0,manual,22790,Ourense,32001,Ourense,Ourense
SEAT,Tarraco,Diésel,78000.0,149.0,automatic,29950,Burjassot,46100,Valencia,Burjassot
SEAT,Tarraco,Diésel,78000.0,149.0,automatic,29950,Valdefuentes,28939,Madrid,Valdefuentes
SEAT,Tarraco,Diésel,78000.0,149.0,automatic,29950,Valdefuentes,28939,Madrid,Valdefuentes
SEAT,Tarraco,Diésel,78000.0,149.0,automatic,29950,Terrassa,8223,Barcelona,Terrassa
Renault,Kangoo,Diésel,300000.0,65.0,manual,2200,Málaga,29006,Málaga,Málaga
Renault,Kangoo,Diésel,300000.0,70.0,manual,2999,Málaga,29006,Málaga,Málaga
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Sevilla,41005,Sevilla,Sevilla
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Alicante,3010,Alicante,Alicante
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Alicante,3010,Murcia,Alicante
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Bilbao,48004,Bizkaia,Bilbao
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Almería,4006,Almería,Almería
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Valencia,46001,Valencia,Valencia
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Málaga,29005,Málaga,Málaga
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Vigo,36211,Pontevedra,Vigo
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Granada,18005,Granada,Granada
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Murcia,30005,Murcia,Murcia
Opel,Vivaro,Diésel,35000.0,120.0,manual,19990,Barcelona,8028,Barcelona,Barcelona
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Urbanizacion La Granjilla,28700,Madrid,Urbanizacion La Granjilla
Renault,Kangoo,Diésel,59990.0,75.0,manual,14490,Toledo,45002,Toledo,Toledo
